job,task,Robot_id,machine_id,resource,start_time,end_time,op_name,op_duration
3,0,RightArm,2,RightArm_2,0.000000,9.000000,Lane4 Pick + Conveyor Drop,9.00s
0,0,AGV,1,AGV_1,0.000000,13.000000,storage_to_right,13.00s
1,0,AGV,5,AGV_5,0.000000,13.000000,storage_to_right,13.00s
3,1,Conveyer,3,Conveyer_3,9.000000,14.500000,right_to_left,5.50s
2,0,RightArm,2,RightArm_2,9.000000,20.600000,Lane1 Pick + Conveyor Drop,11.60s
3,2,LeftArm,4,LeftArm_4,14.500000,23.800000,Conveyor Pick + Lane4 Drop,9.30s
2,1,Conveyer,3,Conveyer_3,20.600000,26.100000,right_to_left,5.50s
3,3,RightArm,2,RightArm_2,23.800000,33.800000,Lane4 Pick + Conveyor Drop,10.00s
0,1,RightArm,2,RightArm_2,33.800000,42.800000,AGV Pick + Conveyor Drop,9.00s
3,4,LeftArm,4,LeftArm_4,33.800000,43.800000,Conveyor Pick + AGV Drop,10.00s
0,2,Conveyer,3,Conveyer_3,42.800000,48.300000,right_to_left,5.50s
1,1,RightArm,2,RightArm_2,42.800000,51.800000,AGV Pick + Conveyor Drop,9.00s
2,2,LeftArm,4,LeftArm_4,43.800000,53.100000,Conveyor Pick + Lane5 Drop,9.30s
3,5,AGV,1,AGV_1,43.800000,63.800000,rightt_to_leftt + left_to_delivery,20.00s
1,2,Conveyer,3,Conveyer_3,51.800000,57.300000,right_to_left,5.50s
0,3,LeftArm,4,LeftArm_4,53.100000,62.400000,Conveyor Pick + Lane1 Drop,9.30s
2,3,RightArm,2,RightArm_2,53.100000,63.100000,Lane5 Pick + Conveyor Drop,10.00s
1,3,LeftArm,4,LeftArm_4,62.400000,71.700000,Conveyor Pick + Lane1 Drop,9.30s
0,4,RightArm,2,RightArm_2,63.100000,73.860000,Lane1 Pick + AGV Drop,10.76s
4,0,AGV,1,AGV_1,63.800000,76.800000,storage_to_right,13.00s
2,4,LeftArm,4,LeftArm_4,71.700000,82.000000,Conveyor Pick + AGV Drop,10.30s
1,4,RightArm,2,RightArm_2,73.860000,84.620000,Lane1 Pick + AGV Drop,10.76s
0,5,AGV,5,AGV_5,73.860000,93.860000,right_to_delivery + delivery_to_right,20.00s
4,1,RightArm,2,RightArm_2,84.620000,93.620000,AGV Pick + Conveyor Drop,9.00s
1,5,AGV,1,AGV_1,84.620000,104.620000,right_to_delivery + delivery_to_right,20.00s
4,2,Conveyer,3,Conveyer_3,93.620000,99.120000,right_to_left,5.50s
4,3,LeftArm,4,LeftArm_4,99.120000,108.420000,Conveyor Pick + Lane1 Drop,9.30s
4,4,RightArm,2,RightArm_2,108.420000,119.180000,Lane1 Pick + AGV Drop,10.76s
4,5,AGV,1,AGV_1,119.180000,139.180000,right_to_delivery + delivery_to_right,20.00s
