job,task,Robot_id,machine_id,resource,start_time,end_time,op_name,op_duration
1,3,LeftArm,4,LeftArm_4,0.000000,9.300000,Conveyor Pick + Lane1 Drop,9.30s
0,4,RightArm,2,RightArm_2,0.000000,10.760000,Lane1 Pick + AGV Drop,10.76s
4,0,AGV,1,AGV_1,0.000000,13.000000,storage_to_right,13.00s
2,4,LeftArm,4,LeftArm_4,9.300000,19.600000,Conveyor Pick + AGV Drop,10.30s
1,4,RightArm,2,RightArm_2,10.760000,21.520000,Lane1 Pick + AGV Drop,10.76s
0,5,AGV,5,AGV_5,10.760000,30.760000,right_to_delivery + delivery_to_right,20.00s
4,1,RightArm,2,RightArm_2,21.520000,30.520000,AGV Pick + Conveyor Drop,9.00s
1,5,AGV,1,AGV_1,21.520000,41.520000,right_to_delivery + delivery_to_right,20.00s
4,2,Conveyer,3,Conveyer_3,30.520000,36.020000,right_to_left,5.50s
4,3,LeftArm,4,LeftArm_4,36.020000,45.320000,Conveyor Pick + Lane1 Drop,9.30s
4,4,RightArm,2,RightArm_2,45.320000,56.080000,Lane1 Pick + AGV Drop,10.76s
4,5,AGV,1,AGV_1,56.080000,76.080000,right_to_delivery + delivery_to_right,20.00s
