job,task,Robot_id,start_time,end_time,op_name,op_duration
3,0,RightArm,0.000000,9.000000,Lane4 Pick + Conveyor Drop,9.00s
0,0,AGV,0.000000,13.000000,storage_to_right,13.00s
1,0,AGV,0.000000,13.000000,storage_to_right,13.00s
3,1,Conveyer,9.000000,14.500000,right_to_left,5.50s
2,0,RightArm,9.000000,20.600000,Lane1 Pick + Conveyor Drop,11.60s
3,2,LeftArm,14.500000,23.800000,Conveyor Pick + Lane4 Drop,9.30s
2,1,Conveyer,20.600000,26.100000,right_to_left,5.50s
3,3,RightArm,23.800000,33.800000,Lane4 Pick + Conveyor Drop,10.00s
0,1,RightArm,33.800000,42.800000,AGV Pick + Conveyor Drop,9.00s
3,4,LeftArm,33.800000,43.800000,Conveyor Pick + AGV Drop,10.00s
0,2,Conveyer,42.800000,48.300000,right_to_left,5.50s
1,1,RightArm,42.800000,51.800000,AGV Pick + Conveyor Drop,9.00s
2,2,LeftArm,43.800000,53.100000,Conveyor Pick + Lane5 Drop,9.30s
3,5,AGV,43.800000,63.800000,rightt_to_leftt + left_to_delivery,20.00s
1,2,Conveyer,51.800000,57.300000,right_to_left,5.50s
0,3,LeftArm,53.100000,62.400000,Conveyor Pick + Lane1 Drop,9.30s
2,3,RightArm,53.100000,63.100000,Lane5 Pick + Conveyor Drop,10.00s
1,3,LeftArm,62.400000,71.700000,Conveyor Pick + Lane1 Drop,9.30s
0,4,RightArm,63.100000,73.860000,Lane1 Pick + AGV Drop,10.76s
2,4,LeftArm,71.700000,82.000000,Conveyor Pick + AGV Drop,10.30s
1,4,RightArm,73.860000,84.620000,Lane1 Pick + AGV Drop,10.76s
0,5,AGV,73.860000,93.860000,right_to_delivery + delivery_to_right,20.00s
1,5,AGV,84.620000,104.620000,right_to_delivery + delivery_to_right,20.00s
4,0,RightArm,94.673313,103.673313,Lane4 Pick + Conveyor Drop,9.00s
4,1,Conveyer,103.673313,109.173313,right_to_left,5.50s
5,0,AGV,104.620000,117.620000,storage_to_right,13.00s
4,2,LeftArm,109.173313,118.473313,Conveyor Pick + Lane4 Drop,9.30s
4,3,RightArm,118.473313,128.473313,Lane4 Pick + Conveyor Drop,10.00s
5,1,RightArm,128.473313,137.473313,AGV Pick + Conveyor Drop,9.00s
4,4,LeftArm,128.473313,138.473313,Conveyor Pick + AGV Drop,10.00s
5,2,Conveyer,137.473313,142.973313,right_to_left,5.50s
4,5,AGV,138.473313,158.473313,rightt_to_leftt + left_to_delivery,20.00s
5,3,LeftArm,142.973313,152.273313,Conveyor Pick + Lane1 Drop,9.30s
5,4,RightArm,152.273313,163.033313,Lane1 Pick + AGV Drop,10.76s
5,5,AGV,163.033313,183.033313,right_to_delivery + delivery_to_right,20.00s
